,scc,p
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae_0,1984.5,1.6232492691033252e-08
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales_0,1984.5,1.6232492691033252e-08
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae_0,1984.5,1.6232492691033252e-08
k__Bacteria;p__Verrucomicrobia_0,1971.5,3.420071574582747e-07
k__Bacteria_0,1098.5,0.0017447363174291316
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Nocardiaceae;g__Rhodococcus_0,313.5,0.039682620656776885
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Nocardiaceae_0,313.5,0.039682620656776885
k__Bacteria;p__Actinobacteria;c__CFGB12107;o__OFGB12107;f__FGB12107;g__GGB34797;s__GGB34797_SGB14322_0,1053.0,0.009769350636713341
k__Bacteria;p__Actinobacteria;c__CFGB12107;o__OFGB12107;f__FGB12107;g__GGB34797_0,917.5,0.027491764097342115
k__Bacteria;p__Actinobacteria;c__CFGB12107;o__OFGB12107;f__FGB12107_0,917.5,0.027491764097342115
k__Bacteria;p__Actinobacteria;c__CFGB12107;o__OFGB12107_0,917.5,0.027491764097342115
k__Bacteria;p__Actinobacteria;c__CFGB12107_0,917.5,0.027491764097342115
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella_0,-1186.5,0.004859550512913525
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae_0,-1218.5,0.0037626549128110046
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales_0,-1248.5,0.003031799233576215
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Adlercreutzia_0,1046.0,0.011414532204828026
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Slackia;s__Slackia_isoflavoniconvertens_0,-1016.0,0.011446150834239588
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Slackia_0,-945.5,0.020006626732078415
k__Bacteria;p__Actinobacteria;c__Coriobacteriia_0,-1020.5,0.016068408927156667
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_congonensis_0,424.5,0.015609594737347866
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Odoribacteraceae;g__Butyricimonas;s__Butyricimonas_SGB15266_0,563.0,0.008638672461120017
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Odoribacteraceae;g__Butyricimonas;s__Butyricimonas_virosa_0,-806.5,0.03810551691626227
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella;s__Paraprevotella_clara_0,-1098.0,0.002991529098505851
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella_0,-1098.0,0.002991529098505851
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_copri_clade_A_0,-1038.0,0.004229723953417864
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_pectinovora_0,-605.5,0.0055575418183258585
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella_0,-1441.5,0.0004204326746532776
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae_0,-1302.0,0.001830415696185742
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_communis_0,1580.5,0.00016985459813335905
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_ihumii_0,976.5,0.017557454002903677
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_shahii_0,1507.5,0.0003135170454009825
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales_0,1363.5,0.001155102238764795
k__Bacteria;p__Bacteroidetes;c__Bacteroidia_0,1363.5,0.001155102238764795
k__Bacteria;p__Bacteroidetes;c__CFGB1670;o__OFGB1670;f__FGB1670;g__GGB47687;s__GGB47687_SGB2286_0,794.5,0.02762771280899544
k__Bacteria;p__Bacteroidetes;c__CFGB1670;o__OFGB1670;f__FGB1670;g__GGB47687_0,794.5,0.02762771280899544
k__Bacteria;p__Bacteroidetes;c__CFGB2107;o__OFGB2107;f__FGB2107_0,-738.5,0.04864912894726427
k__Bacteria;p__Bacteroidetes;c__CFGB2107;o__OFGB2107_0,-738.5,0.04864912894726427
k__Bacteria;p__Bacteroidetes;c__CFGB2107_0,-738.5,0.04864912894726427
k__Bacteria;p__Bacteroidetes;c__CFGB667;o__OFGB667;f__FGB667;g__GGB1662;s__GGB1662_SGB2276_0,888.5,0.000755768123866234
k__Bacteria;p__Bacteroidetes;c__CFGB667;o__OFGB667;f__FGB667;g__GGB1662_0,888.5,0.000755768123866234
k__Bacteria;p__Bacteroidetes;c__CFGB667;o__OFGB667;f__FGB667_0,888.5,0.000755768123866234
